CODIGO    DESCUENTO PRECIO    STOCK     
412041    7.9       15        16        
872819    0         0.13      8.2       
406688    1.2       5.6       20        
365906    9.8       27        23        
308982    0         0.28      43        
901816    12        50        11        
397718    0         7         3.1       
204890    0         9.3       11        
748899    0         0.23      24        
459032    0         0.38      24        
690039    14        11        11        
536472    0         0.66      20        
434681    0         0.92      12        
662083    0         0.65      6.2       
997564    12        16        11        
285807    0         0.82      5.5       
675770    2         45        11        
390920    0.93      5.6       16        
714788    0         0.53      11        
374253    0         3.8       18        
582920    7         4.4       6.9       
793026    4.7       26        30        
935218    0         9.8       0         
182942    3.7       28        6.9       
317404    5.1       11        24        
696000    1.4       41        19        
430669    0         5.1       0.55      
565169    2.4       3.1       28        
118050    0         0.98      23        
485302    7.6       6.7       23        
580927    0         9.1       6.5       
422763    0         3.9       15        
151641    0         0.86      10        
620036    0         3.3       14        
947176    0         4.9       15        
415932    11        7.7       22        
900698    13        19        11        
785062    15        17        7.1       
856894    0         6.1       31        
941699    0         3.3       21        
923804    5.1       5.2       18        
992564    0         0.79      8.2       
330512    5.3       7         6.9       
178943    0         0.17      13        
882099    0         3.5       16        
455703    0         0.88      12        
874503    8.7       9.5       4.7       
979865    0         0.1       22        
423073    5.7       3.5e+002  10        
126218    0         0.57      19        
961802    6.8       46        14        
778066    0         8.5       11        
179485    0         5.1       11        
511824    0         0.88      14        
170844    0         6.5       12        
748008    3.2       8.2       14        
826317    0         0.57      0.89      
651034    0         4.1       15        
311343    13        23        17        
365379    0         0.71      0         
283781    1.9       13        9.2       

DNI       FECHA     CANTIDAD  CODIGO    
33397650  20190101  404       285807    
45783712  20190105  842       690039    
76388967  20190105  529       374253    
33397650  20190201  559       947176    
76388967  20190203  638       947176    
91897732  20190313  629       204890    
33713901  20190319  720       511824    
48184351  20190418  262       748008    
76388967  20190421  224       935218    
33713901  20190506  1125      415932    
79140840  20190518  982       430669    
81114108  20190519  491       900698    
46462527  20190527  106       178943    
79140840  20190529  755       459032    
48184351  20190602  545       856894    
33397650  20190605  690       415932    
33397650  20190628  900       412041    
45783712  20190701  341       412041    
81114108  20190710  156       662083    
83236386  20190713  391       365379    
48184351  20190725  147       485302    
46462527  20190726  1144      748899    
33397650  20190729  347       941699    
83236386  20190803  936       406688    
71984468  20190807  84        874503    
83236386  20190815  1053      923804    
33397650  20190817  1130      365906    
17913944  20190923  195       422763    
45783712  20190927  969       979865    
71984468  20191006  112       997564    
46462527  20191009  546       900698    
46462527  20191012  194       182942    
46462527  20191018  17        397718    
17913944  20191020  492       675770    
33713901  20191202  838       696000    
33713901  20191203  550       536472    
79475585  20191216  780       118050    
17913944  20191228  135       696000    
29847168  20191230  115       935218    
33713901  20200126  1111      126218    
32821689  20200210  420       151641    
29847168  20200304  1134      308982    
81114108  20200309  1142      118050    
46462527  20200312  458       390920    
71378466  20200319  737       923804    
48184351  20200417  1167      856894    
32821689  20200419  554       872819    
33713901  20200419  52        406688    
32821689  20200428  360       422763    
79475585  20200430  507       118050    
76388967  20200509  1150      997564    
79475585  20200514  379       390920    
57263719  20200519  375       620036    
71378466  20200529  989       459032    
48184351  20200531  436       511824    
81114108  20200605  490       565169    
29847168  20200626  116       961802    
45783712  20200706  922       170844    
46462527  20200714  393       434681    
79475585  20200718  532       565169    
91897732  20200720  644       151641    
57263719  20200727  935       941699    
62566305  20200730  1093      311343    
33713901  20200805  395       785062    
83236386  20200806  377       311343    
17913944  20200813  68        415932    
46462527  20200816  0         582920    
79475585  20200907  688       793026    
83236386  20200911  218       675770    
81114108  20200921  692       308982    
57263719  20200925  146       856894    
45783712  20201002  790       696000    
81114108  20201006  281       182942    
33397650  20201007  864       374253    
32821689  20201010  181       992564    
17913944  20201015  745       856894    
71378466  20201026  178       412041    
81114108  20201105  329       992564    
62566305  20201123  690       714788    
71984468  20201126  641       330512    
17913944  20201129  901       434681    
76388967  20201129  318       536472    
33397650  20201213  505       459032    
48184351  20201231  1158      536472    
29847168  20210101  379       580927    
32821689  20210101  123       882099    
71378466  20210104  483       485302    
33397650  20210115  1071      179485    
71378466  20210117  801       485302    
79475585  20210124  853       748899    
17913944  20210205  345       422763    
62566305  20210227  165       882099    
71984468  20210305  666       283781    
91897732  20210309  165       947176    
46462527  20210316  187       178943    
17913944  20210322  212       317404    
33397650  20210324  433       374253    
79140840  20210415  1000      308982    
17913944  20210422  762       390920    
29847168  20210423  750       620036    
79140840  20210520  277       317404    
79140840  20210528  237       455703    
46462527  20210529  446       826317    
46462527  20210606  1110      317404    
32821689  20210701  1032      793026    
17913944  20210704  30        415932    
91897732  20210705  936       485302    
81114108  20210713  674       793026    
79140840  20210717  260       126218    
29847168  20210802  449       422763    
46462527  20210823  634       308982    
33713901  20210902  511       901816    
48184351  20210929  516       317404    
46462527  20211003  101       330512    
91897732  20211004  1171      961802    
57263719  20211010  1102      565169    
32821689  20211019  860       406688    
83236386  20211020  108       872819    
29847168  20211102  944       979865    
91897732  20211109  1151      423073    
33397650  20211111  283       651034    
57263719  20211122  903       778066    
71984468  20211128  599       126218    
17913944  20211129  575       582920    
91897732  20211217  901       365906    
71378466  20211219  56        330512    
33397650  20211226  859       178943    
46462527  20211227  243       901816    
57263719  20220101  517       662083    
57263719  20220106  491       793026    
62566305  20220123  1186      882099    
81114108  20220124  1159      455703    
48184351  20220202  120       204890    
81114108  20220205  613       941699    
71984468  20220211  813       651034    
79140840  20220221  767       748008    
48184351  20220329  645       565169    
71378466  20190424  335       308982    
